"timepoint"	"id"	"channel"	"np"	"peakArea"
"201"	2	"pep32338181_rep1"	2	0	929137
"202"	2	"pep32338181_rep2"	2	0	342005
"203"	2	"pep32338181_rep3"	2	0	NA
"204"	2	"pep32338181_rep4"	2	0	1127291
"205"	2	"pep32338181_rep5"	2	0	NA
"206"	2	"pep32338181_rep1"	3	0	NA
"207"	2	"pep32338181_rep2"	3	0	NA
"208"	2	"pep32338181_rep3"	3	0	NA
"209"	2	"pep32338181_rep4"	3	0	NA
"210"	2	"pep32338181_rep5"	3	0	NA
"211"	3	"pep32338181_rep1"	1	0	412589
"212"	3	"pep32338181_rep2"	1	0	576831
"213"	3	"pep32338181_rep3"	1	0	301755
"214"	3	"pep32338181_rep4"	1	0	733576
"215"	3	"pep32338181_rep5"	1	0	550543
"216"	3	"pep32338181_rep1"	2	0	1044182
"217"	3	"pep32338181_rep2"	2	0	334354
"218"	3	"pep32338181_rep3"	2	0	NA
"219"	3	"pep32338181_rep4"	2	0	614176
"220"	3	"pep32338181_rep5"	2	0	NA
"221"	3	"pep32338181_rep1"	3	0	NA
"222"	3	"pep32338181_rep2"	3	0	NA
"223"	3	"pep32338181_rep3"	3	0	NA
"224"	3	"pep32338181_rep4"	3	0	NA
"225"	3	"pep32338181_rep5"	3	0	NA
"226"	4	"pep32338181_rep1"	1	0	317817
"227"	4	"pep32338181_rep2"	1	0	438655
"228"	4	"pep32338181_rep3"	1	0	433378
"229"	4	"pep32338181_rep4"	1	0	256743
"230"	4	"pep32338181_rep5"	1	0	289827
"231"	4	"pep32338181_rep1"	2	0	414393
"232"	4	"pep32338181_rep2"	2	0	464894
"233"	4	"pep32338181_rep3"	2	0	NA
"234"	4	"pep32338181_rep4"	2	0	494943
"235"	4	"pep32338181_rep5"	2	0	NA
"236"	4	"pep32338181_rep1"	3	0	NA
"237"	4	"pep32338181_rep2"	3	0	NA
"238"	4	"pep32338181_rep3"	3	0	NA
"239"	4	"pep32338181_rep4"	3	0	NA
"240"	4	"pep32338181_rep5"	3	0	NA
"241"	5	"pep32338181_rep1"	1	0	NA
"242"	5	"pep32338181_rep2"	1	0	NA
"243"	5	"pep32338181_rep3"	1	0	NA
"244"	5	"pep32338181_rep4"	1	0	NA
"245"	5	"pep32338181_rep5"	1	0	NA
"246"	5	"pep32338181_rep1"	2	0	NA
"247"	5	"pep32338181_rep2"	2	0	NA
"248"	5	"pep32338181_rep3"	2	0	NA
"249"	5	"pep32338181_rep4"	2	0	NA
"250"	5	"pep32338181_rep5"	2	0	NA
"251"	5	"pep32338181_rep1"	3	0	NA
"252"	5	"pep32338181_rep2"	3	0	NA
"253"	5	"pep32338181_rep3"	3	0	NA
"254"	5	"pep32338181_rep4"	3	0	NA
"255"	5	"pep32338181_rep5"	3	0	NA
"256"	6	"pep32338181_rep1"	1	0	NA
"257"	6	"pep32338181_rep2"	1	0	NA
"258"	6	"pep32338181_rep3"	1	0	NA
"259"	6	"pep32338181_rep4"	1	0	NA
"260"	6	"pep32338181_rep5"	1	0	NA
"261"	6	"pep32338181_rep1"	2	0	NA
"262"	6	"pep32338181_rep2"	2	0	NA
"263"	6	"pep32338181_rep3"	2	0	NA
"264"	6	"pep32338181_rep4"	2	0	NA
"265"	6	"pep32338181_rep5"	2	0	NA
"266"	6	"pep32338181_rep1"	3	0	NA
"267"	6	"pep32338181_rep2"	3	0	NA
"268"	6	"pep32338181_rep3"	3	0	NA
"269"	6	"pep32338181_rep4"	3	0	NA
"270"	6	"pep32338181_rep5"	3	0	NA
"271"	7	"pep32338181_rep1"	1	0	NA
"272"	7	"pep32338181_rep2"	1	0	NA
"273"	7	"pep32338181_rep3"	1	0	NA
"274"	7	"pep32338181_rep4"	1	0	NA
"275"	7	"pep32338181_rep5"	1	0	NA
"276"	7	"pep32338181_rep1"	2	0	NA
"277"	7	"pep32338181_rep2"	2	0	NA
"278"	7	"pep32338181_rep3"	2	0	NA
"279"	7	"pep32338181_rep4"	2	0	NA
"280"	7	"pep32338181_rep5"	2	0	NA
"281"	7	"pep32338181_rep1"	3	0	NA
"282"	7	"pep32338181_rep2"	3	0	NA
"283"	7	"pep32338181_rep3"	3	0	NA
"284"	7	"pep32338181_rep4"	3	0	NA
"285"	7	"pep32338181_rep5"	3	0	NA
"286"	8	"pep32338181_rep1"	1	0	NA
"287"	8	"pep32338181_rep2"	1	0	NA
"288"	8	"pep32338181_rep3"	1	0	NA
"289"	8	"pep32338181_rep4"	1	0	NA
"290"	8	"pep32338181_rep5"	1	0	NA
"291"	8	"pep32338181_rep1"	2	0	NA
"292"	8	"pep32338181_rep2"	2	0	NA
"293"	8	"pep32338181_rep3"	2	0	NA
"294"	8	"pep32338181_rep4"	2	0	NA
"295"	8	"pep32338181_rep5"	2	0	NA
"296"	8	"pep32338181_rep1"	3	0	NA
"297"	8	"pep32338181_rep2"	3	0	NA
"298"	8	"pep32338181_rep3"	3	0	NA
"299"	8	"pep32338181_rep4"	3	0	NA
"300"	8	"pep32338181_rep5"	3	0	NA
"301"	9	"pep32338181_rep1"	1	0	NA
"302"	9	"pep32338181_rep2"	1	0	NA
"303"	9	"pep32338181_rep3"	1	0	NA
"304"	9	"pep32338181_rep4"	1	0	NA
"305"	9	"pep32338181_rep5"	1	0	NA
"306"	9	"pep32338181_rep1"	2	0	NA
"307"	9	"pep32338181_rep2"	2	0	NA
"308"	9	"pep32338181_rep3"	2	0	NA
"309"	9	"pep32338181_rep4"	2	0	NA
"310"	9	"pep32338181_rep5"	2	0	NA
"311"	9	"pep32338181_rep1"	3	0	NA
"312"	9	"pep32338181_rep2"	3	0	NA
"313"	9	"pep32338181_rep3"	3	0	NA
"314"	9	"pep32338181_rep4"	3	0	NA
"315"	9	"pep32338181_rep5"	3	0	NA
"316"	10	"pep32338181_rep1"	1	0	NA
"317"	10	"pep32338181_rep2"	1	0	NA
"318"	10	"pep32338181_rep3"	1	0	NA
"319"	10	"pep32338181_rep4"	1	0	NA
